esp,INFINITIVE,PAST,PARTICIPLE
aceptar,accept ,accepted ,accepted 
agregar,add ,added ,added 
admirar,admire ,admired ,admired 
admitir,admit ,admitted ,admitted 
aconsejar,advise ,advised ,advised 
afrontar,afford ,afforded ,afforded 
estar de acuerdo,agree ,agreed ,agreed 
alertar,alert ,alerted ,alerted 
permitir,allow ,allowed ,allowed 
entretener,amuse ,amused ,amused 
analizar,analyse ,analysed ,analysed 
anunciar,announce ,announced ,announced 
molestar,annoy ,annoyed ,annoyed 
contestar,answer ,answered ,answered 
"pedir disculpas, disculparse",apologise ,apologised ,apologised 
aparecer,appear ,appeared ,appeared 
aplaudir,applaud ,applauded ,applauded 
apreciar,appreciate ,appreciated ,appreciated 
aprobar,approve ,approved ,approved 
discutir,argue ,argued ,argued 
arreglar,arrange ,arranged ,arranged 
arrestar,arrest ,arrested ,arrested 
llegar,arrive ,arrived ,arrived 
preguntar,ask ,asked ,asked 
adjuntar,attach ,attached ,attached 
atacar,attack ,attacked ,attacked 
intentar,attempt ,attempted ,attempted 
asistir,attend ,attended ,attended 
atraer,attract ,attracted ,attracted 
evitar,avoid ,avoided ,avoided 
apoyar,back ,backed ,backed 
hornear,bake ,baked ,baked 
balancear ,balance ,balanced ,balanced 
prohibir,ban ,banned ,banned 
bañarse ,bathe ,bathed ,bathed 
rogar,beg ,begged ,begged 
comportarse,behave ,behaved ,behaved 
pertenecer,belong ,belonged ,belonged 
bendecir,bless ,blessed ,blessed 
enceguecer,blind ,blinded ,blinded 
parpadear                    ,blink ,blinked ,blinked 
enrojecer                    ,blush ,blushed ,blushed 
hervir,boil ,boiled ,boiled 
reservar               ,book ,booked ,booked 
aburrir                 ,bore ,bored ,bored 
pedir prestado                  ,borrow ,borrowed ,borrowed 
rebotar                ,bounce ,bounced ,bounced 
frenar                 ,brake ,broke ,broken 
respirar               ,breathe ,breathed ,breathed 
cepillar                  ,brush ,brushed ,brushed 
quemar                ,burn ,burnt ,burnt 
