esp,ing
"¿Puede decirme un poco acerca de usted?","Can you tell me a little about yourself?"
"¿Por qué está interesado en este puesto?","Why are you interested in this position?"
"¿Cuál es su experiencia laboral relevante?","What is your relevant work experience?"
"¿Cuáles son sus mayores fortalezas?","What are your greatest strengths?"
"¿Cuáles son sus mayores debilidades?","What are your greatest weaknesses?"
"¿Cómo se enteró de esta oportunidad de trabajo?","How did you hear about this job opportunity?"
"¿Por qué dejó su último trabajo?","Why did you leave your last job?"
"¿Cuál es su experiencia trabajando en equipo?","What is your experience working in a team?"
"¿Cómo maneja el estrés y la presión?","How do you handle stress and pressure?"
"¿Qué tipo de ambiente de trabajo prefiere?","What type of work environment do you prefer?"
"¿Puede describir una situación en la que tuvo que resolver un problema difícil?","Can you describe a situation where you had to solve a difficult problem?"
"¿Qué logros está más orgulloso de haber alcanzado?","What achievements are you most proud of?"
"¿Cómo mantiene sus habilidades actualizadas?","How do you keep your skills up-to-date?"
"¿Por qué deberíamos contratarlo?","Why should we hire you?"
"¿Tiene alguna pregunta para mí?","Do you have any questions for me?"
"¿Cuál es su expectativa salarial?","What is your salary expectation?"
"¿Cuándo estaría disponible para comenzar?","When would you be available to start?"
"¿Puede proporcionar referencias?","Can you provide references?"
"¿Cuál es su nivel de educación?","What is your level of education?"
"¿Ha trabajado en esta industria antes?","Have you worked in this industry before?"
"¿Cuál es su experiencia con el manejo de clientes?","What is your experience with handling clients?"
"¿Tiene experiencia trabajando de forma remota?","Do you have experience working remotely?"
"¿Cómo prioriza sus tareas y proyectos?","How do you prioritize your tasks and projects?"
"¿Puede describir un momento en el que tuvo que lidiar con un conflicto en el lugar de trabajo?","Can you describe a time when you had to deal with a conflict in the workplace?"
"¿Qué estrategias utiliza para mantenerse organizado?","What strategies do you use to stay organized?"
"¿Qué programas informáticos domina?","What computer programs are you proficient in?"
"¿Cómo se mantiene motivado?","How do you stay motivated?"
"¿Tiene experiencia en la realización de presentaciones?","Do you have experience in giving presentations?"
"¿Qué idiomas habla?","What languages do you speak?"
"¿Cuál es su experiencia en la gestión de proyectos?","What is your experience in project management?"
"¿Cómo maneja las críticas?","How do you handle criticism?"
"¿Qué busca en un supervisor o gerente?","What do you look for in a supervisor or manager?"
"¿Ha trabajado con presupuestos antes?","Have you worked with budgets before?"
"¿Cómo se adapta a los cambios en el lugar de trabajo?","How do you adapt to changes in the workplace?"
"¿Tiene experiencia en la contratación de personal?","Do you have experience in hiring personnel?"
"¿Qué tipo de relación prefiere tener con sus colegas?","What type of relationship do you prefer to have with your colleagues?"
"¿Puede describir su experiencia en la resolución de conflictos?","Can you describe your experience in conflict resolution?"
"¿Ha trabajado con metas y objetivos establecidos?","Have you worked with set goals and objectives?"
"Hola","Hello"
"Buenos días","Good morning"
"Buenas tardes","Good afternoon"
"Buenas noches","Good evening"
"¿Cómo estás?","How are you?"
"¿Qué tal?","What's up?"
"Mucho gusto","Nice to meet you"
"Encantado de conocerte","Pleased to meet you"
"¿Cómo te va?","How's it going?"
"¿Cómo ha sido tu día?","How has your day been?"
"Hasta luego","See you later"
"Hasta pronto","See you soon"
"Hasta mañana","See you tomorrow"
"Adiós","Goodbye"
"Buen fin de semana","Have a good weekend"
"Disfruta tu día","Enjoy your day"
