esp,ing
"¿Cuánto café has tomado?","How much coffee have you drunk?"
"¿Cuántos visitantes recibe el museo del Louvre cada año?","How many visitors does the Louvre museum receive each year?"
"¿Cuánto arroz tengo que comprar?","How much rice do I have to buy?"
"¿Cuánta azúcar le pones a tu té?","How much sugar do you take with your tea?"
"¿Cuánta agua hay en el vaso?","How much water is there in the glass?"
"¿Cuántos restaurantes has probado en tu pueblo?","How many restaurants have you tried in your town?"
"¿Cuántos estudiantes hay en la clase?","How many students are there in the class?"
"¿Cuántas bananas quedan?","How many bananas are left?"
"¿Cuánto cuesta este suéter?","How much is this sweater?"
"No sé cuánto cuesta esto.","I don’t know how much this costs."
"Me gustaría preguntar cuántos personajes famosos hay en mi ciudad.","I’d like to ask how many famous people there are in my city."
"¿Cuánta leche debo comprar?","How much milk do I have to buy?"
"¿Cuántos tazones de arroz usas para esta receta?","How many bowls of rice do you use for this recipe?"
"¿Cuánta azúcar comes diariamente?","How much sugar do you eat daily?"
"¿Cuántos kilos vienen en ese paquete?","How many kilograms come in that package?"
"¿Cuánto peso ganaste?","How much weight did you gain?"
"¿Cuántos huevos compró?","How many eggs did she buy?"
"¿Cuánta gente vendrá?","How many people will come?"
"¿Cuántos estudiantes hay en el aula?","How many students are in the classroom?"
"¿Cuánto chocolate les permites comer?","How much chocolate do you let them eat?"
"¿Cuántas cucharadas de miel quieres en tu té?","How many spoonfuls of honey do you want in your tea?"
"¿Cuánta agua debo tomar cuando hago ejercicio físico?","How much water do I have to drink when I exercise?"
"¿Cuántas veces fue al gimnasio la semana pasada?","How many times did he go to the gym last week?"
"¿Cuánto pagaste?","How much did you pay?"
"¿Cuánto cuesta la entrada?","How much does the ticket cost?"
"¿Cuántos amigos tienes?","How many friends do you have?"
"¿Cuánto tiempo pasas con ellos?","How much time do you spend with them?"
"¿Cuánto cuesta un piano?","How much does a piano cost?"
"¿Cuántos discos tienes?","How many records do you have?"
"¿Cuánto trabajas?","How much do you work?"
"¿Cuántas horas permaneces en el trabajo?","How many hours do you stay at work?"
"¿A cuántas personas conoces en esta ciudad?","How many people do you know in this city?"
"¿Cuánto pensaste esto?","How much thinking did you put into this?"
"¿Cuánto calor necesitas para la torta?","How much heat do you need for the cake?"
"¿Cuántos días hace que está lloviendo?","How many days has it been raining so far?"
"¿Cuánto la extrañas?","How much do you miss her?"
"Tanto como pueda" , "As much as I can"
"Tantas veces como sea posible" , "As many times as possible"
"Tanto dinero como sea posible" , "As much money as possible"
"Tantas posibilidades" , "So many possibilities"
"Tantas opciones como sea posible" , "As many options as possible"
"Demasiado trabajo" , "Too much work"
"Demasiadas responsabilidades" , "Too many responsibilities"
"Tanto que hacer" , "So much to do"
"Tanta gente" , "So many people"
"Toda la ayuda posible" , "As much help as possible"
"Demasiadas opciones" , "Too many choices"
"Mucho mejor" , "So much better"
"Demasiada presión" , "Too much pressure"
"Tanta información como sea posible" , "As much information as possible"
"Demasiadas exigencias" , "Too many demands"
"Tantos recursos como sean necesarios" , "As many resources as needed"
"Todo el tiempo que sea necesario" , "As much time as necessary"
"Tantas decisiones" , "So many decisions"
"Tanto esfuerzo como sea necesario" , "As much effort as needed"
"Demasiadas expectativas" , "Too many expectations"
"Tengo tantas cosas que hacer y tanto que aprender." , "I have so many things to do and so much to learn."
"Tenemos tanto trabajo y tantas tareas." , "We have so much work and so many tasks."
