esp,ing
"El gráfico de líneas muestra el consumo per cápita de leche entera y baja en grasa en Estados Unidos.","The line graph illustrates per capita consumption of whole milk and low-fat milk in the United States."
"En general, hubo un descenso drástico en el consumo de leche entera.","Overall, there was a dramatic decline in whole milk consumption."
"Al mismo tiempo, la leche baja en grasa tuvo un aumento constante.","At the same time, low-fat milk saw a steady increase."
"Las dos tendencias se cruzaron alrededor de 1990 en 14 galones por persona.","The two trends crossed at around 14 gallons per person in 1990."
"En 1970, los estadounidenses consumían aproximadamente 26 galones de leche entera por persona al año.","In 1970, Americans consumed around 26 gallons of whole milk per person annually."
"Este número cayó de forma constante hasta llegar a 5 galones en 2015.","This number fell consistently, reaching 5 gallons in 2015."
"El consumo de leche baja en grasa comenzó mucho más bajo, en 6 galones por persona.","Low-fat milk consumption started much lower, at 6 gallons per person."
"Su popularidad creció cada año, superando la leche entera en 1990.","Its popularity grew each year, overtaking whole milk in 1990."
"Después de ese punto, el consumo se mantuvo estable en 13–15 galones.","After that point, consumption stayed stable at 13–15 gallons."
"En 2015, hubo una ligera disminución en el consumo de leche baja en grasa.","In 2015, there was a slight dip in low-fat milk consumption."
"En resumen, la leche entera cayó mientras la leche baja en grasa subió y luego se estabilizó.","To sum up, whole milk consumption fell while low-fat milk rose and then stabilized."
"Esto resalta un cambio significativo en las preferencias de los consumidores a lo largo de 45 años.","This highlights a significant shift in consumer preferences over 45 years."
"El gráfico de barras compara las cifras de ventas en diferentes países.","The bar chart compares sales figures across different countries."
"La tabla muestra cambios en la población urbana entre 1990 y 2020.","The table shows changes in urban population between 1990 and 2020."
"El gráfico circular ilustra la distribución de los ingresos por sector.","The pie chart illustrates the distribution of income by sector."
"Hubo un aumento pronunciado en las exportaciones después del año 2000.","There was a sharp rise in exports after the year 2000."
"Las cifras permanecieron estables durante la primera década.","The figures remained stable during the first decade."
"Se produjo una disminución gradual en la producción de carbón.","There was a gradual decrease in coal production."
"El número alcanzó un máximo de 80 unidades en 2010.","The number reached a peak of 80 units in 2010."
"En contraste, las importaciones cayeron drásticamente.","By contrast, imports fell dramatically."
"El consumo se mantuvo constante en alrededor de 50 litros por persona.","Consumption stayed constant at around 50 liters per person."
"Las cifras tocaron un mínimo histórico en 2005.","The figures hit a historic low in 2005."
"En el período inicial, los valores eran relativamente bajos.","In the initial period, the values were relatively low."
"El crecimiento se aceleró de forma notable después de 2015.","Growth accelerated significantly after 2015."
"En comparación con 1990, los niveles fueron mucho más altos en 2020.","Compared to 1990, the levels were much higher in 2020."
"Los datos destacan una tendencia ascendente clara a lo largo de los años.","The data highlight a clear upward trend over the years."
