esp,ing
"Voy a hablar de un amigo que influyó en mí de manera indirecta y cuyo ejemplo me hizo reflexionar sobre mis propias decisiones.", "I’m going to talk about a friend who influenced me indirectly and whose example made me reflect on my own decisions."
"Su nombre es David, y lo conocí en la escuela secundaria en Bogotá, Colombia, en un barrio conocido como Bosa.", "His name is David, and I met him in high school in Bogotá, Colombia, in a neighborhood known as Bosa."
"David y yo asistíamos a un colegio público que, en muchas ocasiones, no contaba con los recursos necesarios para ofrecer una educación de calidad.", "David and I attended a public school that, on many occasions, lacked the resources needed to provide a quality education."
"David solía decir que quería ser actor; sin embargo, las circunstancias no le permitieron seguir esa carrera como él había esperado.", "David used to say he wanted to be an actor; however, circumstances didn’t allow him to pursue that career as he had expected."
"Después de intentar estudiar actuación por un tiempo, se dio cuenta de que la vida en ese campo era mucho más complicada de lo que parecía.", "After trying to study acting for a while, he realized that life in that field was much more complicated than it seemed."
"Como resultado, cambió su enfoque y optó por inscribirse en un curso técnico de enfermería.", "As a result, he changed his focus and opted to enroll in a technical nursing course."
"Esto fue bastante sorprendente para mí, ya que lo veía como alguien que siempre se dedicaba a las artes y no a algo tan diferente como la enfermería.", "This was quite surprising to me, as I saw him as someone who was always dedicated to the arts and not to something so different like nursing."
"David es conocido por ser un hombre muy carismático, lo cual le ha traído tanto éxito como problemas, especialmente en su vida amorosa.", "David is known for being a very charismatic man, which has brought him both success and problems, especially in his love life."
"Recuerdo un incidente en el que una de sus novias, sospechando que él estaba saliendo con otras chicas, se volvió extremadamente agresiva.", "I remember an incident in which one of his girlfriends, suspecting he was dating other girls, became extremely aggressive."
"En general, nunca ha tenido relaciones estables porque, a pesar de su encanto, no suele ser claro con sus intenciones.", "In general, he has never had stable relationships because, despite his charm, he is not usually clear about his intentions."
"Por otro lado, mi camino fue mucho más convencional.", "On the other hand, my path was much more conventional."
"Decidí estudiar Ingeniería en la Universidad Nacional de Colombia y, después de graduarme, trabajé durante dos años en una empresa de desarrollo de software.", "I decided to study Engineering at the National University of Colombia and, after graduating, I worked for two years in a software development company."
"Sin embargo, desde que era estudiante, siempre quise hacer algo más creativo, relacionado con la inteligencia artificial y la robótica.", "However, since I was a student, I always wanted to do something more creative, related to artificial intelligence and robotics."
"Así fue como, durante la pandemia, decidí iniciar mi propia empresa de desarrollo de software junto con mi novia.", "That’s how, during the pandemic, I decided to start my own software development company together with my girlfriend."
"En un principio, no fue fácil porque no podíamos reunirnos con los clientes en persona debido a las restricciones sanitarias.", "At first, it wasn’t easy because we couldn’t meet clients in person due to health restrictions."
"Sin embargo, con dedicación y esfuerzo, logramos expandirnos y trabajar con clientes internacionales.", "Nevertheless, with dedication and effort, we managed to expand and work with international clients."
"Actualmente, nuestra empresa se centra en desarrollar aplicaciones médicas y creativas utilizando inteligencia artificial y dispositivos como gafas inteligentes.", "Currently, our company focuses on developing medical and creative applications using artificial intelligence and devices such as smart glasses."
"Aunque la mayoría de nuestros clientes están en el extranjero, manejamos muchos de los proyectos en español, lo cual, en ocasiones, ha representado un desafío.", "Although most of our clients are abroad, we manage many of the projects in Spanish, which has sometimes posed a challenge."
"Mi objetivo personal es mejorar mis habilidades comerciales y hacer crecer la empresa para llevarla a nuevos mercados.", "My personal goal is to improve my business skills and grow the company to reach new markets."
"En el futuro, me encantaría explorar la robótica avanzada y expandir la empresa a más países.", "In the future, I would love to explore advanced robotics and expand the company to more countries."

"En cuanto a las decisiones profesionales de los jóvenes, considero que hoy en día enfrentan muchos desafíos.", "Regarding young people’s professional decisions, I believe that they face many challenges nowadays."
"Uno de los factores más influyentes es la presión familiar, especialmente en países como Colombia, donde las expectativas de las familias son muy altas.", "One of the most influential factors is family pressure, especially in countries like Colombia, where family expectations are very high."
"Muchos jóvenes sienten que deben estudiar carreras tradicionales, como ingeniería o medicina, para cumplir con las expectativas de sus padres.", "Many young people feel that they must study traditional careers, such as engineering or medicine, to meet their parents' expectations."
"Esto puede llevar a que no exploren otras opciones que realmente les apasionen.", "This can lead to them not exploring other options they are truly passionate about."
"Por otro lado, las condiciones económicas también juegan un papel crucial.", "On the other hand, economic conditions also play a crucial role."
"En Colombia, no siempre hay oportunidades laborales en todas las áreas, por lo que muchos jóvenes optan por trabajos temporales o se aventuran en emprendimientos informales.", "In Colombia, there are not always job opportunities in all areas, so many young people opt for temporary jobs or venture into informal entrepreneurship."
"Además, las expectativas sociales también influyen considerablemente.", "Additionally, social expectations also influence them considerably."
"Por ejemplo, se espera que las personas elijan carreras que ofrezcan estabilidad y seguridad, lo cual hace que muchos jóvenes no consideren profesiones más artísticas o creativas.", "For example, people are expected to choose careers that offer stability and security, which makes many young people not consider more artistic or creative professions."
"Por otro lado, cada vez más jóvenes están optando por carreras en tecnología y startups, ya que estos sectores ofrecen más libertad y oportunidades de innovación.", "On the other hand, more and more young people are choosing careers in technology and startups, as these sectors offer more freedom and opportunities for innovation."
"Veo un cambio en la mentalidad, y creo que en el futuro habrá más personas que sigan carreras que realmente les apasionen, en lugar de seguir lo que la sociedad espera de ellas.", "I see a change in mindset, and I believe that in the future there will be more people pursuing careers they are truly passionate about, instead of following what society expects from them."
"En conclusión, factores como la familia, la economía y las expectativas sociales influyen profundamente en las decisiones de vida de los jóvenes en mi país, pero poco a poco están abriéndose a nuevas oportunidades y desafíos.", "In conclusion, factors such as family, the economy, and social expectations deeply influence the life decisions of young people in my country, but they are gradually opening up to new opportunities and challenges."
